ts,lp,votes,emissions,bribes,fees,chain_id,chain_name,chain_key,bribes_usd,fees_usd,total_incentives_usd
1769040000,0x3DD9556a521d6e57bE480c94da102fedf0429aba,271847.2661563156,0.002545199461736742,[],"[('0x79AF5dd14e855823FA3E9ECAcdF001D99647d043', 12452251479725133), ('0x9485aca5bbBE1667AD97c7fE7C4531a624C8b1ED', 4342076418380111)]",10,Optimism,op,0.0,0.01,0.01
1769040000,0xd25711EdfBf747efCE181442Cc1D8F5F8fc8a0D3,2075506.867087413,0.019432107220263433,[],"[('0x4200000000000000000000000000000000000006', 34336024000941645), ('0x4200000000000000000000000000000000000042', 343620125190261065489)]",10,Optimism,op,0.0,202.54,202.54
1769040000,0x7e1357fa56C0eCfE69dAF22E08489aE8De56d86C,86140.51302089714,0.000806499879415545,[],"[('0x4200000000000000000000000000000000000042', 48088629742565326612), ('0xAF9fE3B5cCDAe78188B1F8b9a49Da7ae9510F151', 35379755934574411736)]",10,Optimism,op,0.0,20.24,20.24
1769040000,0xFF5318f81Dd791e92d51b8A54fA3538832D2890D,2666.7528459986497,2.4968092566575e-05,[],"[('0x484c2D6e3cDd945a8B2DF735e079178C1036578c', 383928859533), ('0x6806411765Af15Bddd26f8f544A34cC40cb9838B', 58405205781)]",10,Optimism,op,0.0,0.0,0.0
1769040000,0xa1055762336F92b4B8d2eDC032A0Ce45ead6280a,13138698.83032159,0.14023117601701063,[],"[('0x3E29D3A9316dAB217754d13b28646B76607c5f04', 40329758236762240), ('0x4200000000000000000000000000000000000006', 38003420245074026)]",10,Optimism,op,0.0,224.95,224.95
1769040000,0xaF03f51DE7a0E62BF061F6Fc3931cF79166B0a29,32322.240474664504,0.000302624479558146,[],"[('0x2E3D870790dC77A83DD1d18184Acc7439A53f475', 517555848536102804), ('0xCB8FA9a76b8e203D8C3797bF438d8FB81Ea3326A', 335243763863464517)]",10,Optimism,op,0.0,0.85,0.85
1769040000,0x56770b94279539416855fe29Ef14b26438B5e421,102301.15899408786,0.000957818348732597,[],"[('0x296F55F8Fb28E498B858d0BcDA06D955B2Cb3f97', 26194760031202169299), ('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 5423374)]",10,Optimism,op,0.0,10.03,10.03
1769040000,0xE54e4020d1C3afDB312095D90054103E68fe34B0,9155.412978044762,8.5719679296132e-05,[],"[('0xdFA46478F9e5EA86d57387849598dbFB2e964b02', 214456665078518886)]",10,Optimism,op,0.0,0.01,0.01
1769040000,0x0e88a5bfF34d39DA66bdD32B82dC89a32D7Bb6c9,2529358.0933449045,0.023681937283744188,[],"[('0x4200000000000000000000000000000000000006', 703159630899238), ('0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC', 1492958068449304446220)]",10,Optimism,op,0.0,4.01,4.01
1769040000,0x615B9dd61f1F9a80f5bcD33A53Eb79c37b20adDC,49305.70094256236,0.000474748606300368,[],"[('0xa50B23cDfB2eC7c590e84f403256f67cE6dffB84', 26109409201905360699720)]",10,Optimism,op,0.0,2.25,2.25
